ID,lat,lon
1,37.96549156301862,-8.829232028400357
2,37.97446920316809,-8.806439415671004
3,37.98344239714051,-8.783641265861037
4,38.00137542957089,-8.73802836021005
6,37.93828546475606,-8.738252455349798
7,37.911295081494586,-8.761100414791834
9,37.93841754110201,-8.806534002018909
12,37.947465709265515,-8.829273757761598
13,37.866206516434936,-8.74987683699457
15,37.857116120354604,-8.715804107245535
16,37.84810310503506,-8.715838703333128
17,37.87511410666188,-8.704364400055733
18,37.90212383016014,-8.692881656367641
19,37.92017879154673,-8.704184099129446
20,37.94727248528706,-8.726838883107712
21,37.93825959990827,-8.726872243853448
22,37.96527122291013,-8.715387748566096
23,37.857239582716275,-8.772642822892625
24,37.857281285732824,-8.795378399879883
25,37.85721708507286,-8.761275052606461
26,37.96553618218936,-8.863385522159692
27,37.974549102666785,-8.863368819195731
28,37.97452044901635,-8.840597031081264
29,38.010538850948514,-8.81773609621076
30,38.010538850948514,-8.81773609621076
31,38.00150780420933,-8.806368365073098
32,37.96541664710639,-8.783694169973385
33,37.956382275034116,-8.772337558906012
34,37.93833389264715,-8.761012920491897
36,38.0285462804971,-8.80629721932105
38,37.98326876788419,-8.703931001397619
39,38.01949373085087,-8.783535315928678
40,37.98337459886867,-8.749479640690978
41,37.98332388811798,-8.726705291220961
43,37.947465709265515,-8.829273757761598
44,37.89333342165102,-8.795278650939716
45,37.87526565145738,-8.772587431675012
46,38.00134950630785,-8.72663840583595
47,37.93841754110201,-8.806534002018909
48,37.90230465068252,-8.772504252165632
49,38.028387829536484,-8.72653796579644
50,38.02843862204087,-8.74932625855158
51,37.94721743606606,-8.704075725429172
53,37.758049285319004,-8.750241441680751
54,37.79393767273737,-8.681971927435312
55,37.820772983629844,-8.613683516385992
56,37.83879889569335,-8.613589521621128
57,37.920308032404144,-8.761071263031653
58,37.91124670042149,-8.738348282141986
59,38.01030712105428,-8.703822288781549
60,37.88423252772081,-8.749815879659769
61,38.063958905346055,-8.566809504667267
62,37.98280300803813,-8.555899914678209
63,37.955965970519195,-8.612976508089227
64,37.88382553521898,-8.601982480192227
65,38.14555245328339,-8.726101168631883
66,38.09139210418475,-8.69209139773356
67,37.77563136394666,-8.591207955353564
68,37.78501160985086,-8.716080444525108
69,37.71305032923838,-8.784429894419668
70,37.9922523430751,-8.692506265973293
71,38.17219055546148,-8.589002724501347
72,38.05547686947605,-8.749234064899413
73,38.08251499202504,-8.749141747754981
74,38.10918090985026,-8.612169492586757
75,38.15438533452079,-8.657585345430943
76,38.03740057619344,-8.72650445589825
77,38.0102778791413,-8.69243098674816
78,37.83903304588306,-8.693143435294266
80,38.01916258328333,-8.646822708407388
81,38.14511281325315,-8.577742366224774
82,37.76649528097675,-8.557196602502032
83,38.01937506900252,-8.726571460747369
84,38.10950204974912,-8.726235837754235
85,37.42415161288902,-8.604428539578246
86,37.505570630417225,-8.705827806665082
87,37.6315694051397,-8.63733172923609
